용어 이름,카테고리,뜻
수시,정시/수시 관련,"학생부를 기준으로 지원하며, 최대 6개의 원서 접수 가능"
정시,정시/수시 관련,"수능 성적을 기준으로 지원하며, 최대 3개의 원서 지원 가능"
논술 전형,정시/수시 관련,대학에서 자체적으로 실시하는 입학 시험(인문계 논술/자연계 논술)
학생부 교과 전형,정시/수시 관련,학생부 교과(내신) 성적을 중심으로 평가하는 전형
학생부 종합 전형(학종),정시/수시 관련,내신 성적을 포함하여 생기부의 다양한 활동 기록을 종합적으로 평가하는 전형
실기 전형,정시/수시 관련,"예체능, 특기자 모집 시 실기 성적을 중심으로 선발하는 전형"
모집군,정시/수시 관련,"크게 가, 나, 다군으로 구분되며 군별로 1개의 모집단위만 지원 가능"
이월 인원,정시/수시 관련,수시 모집에서 정원을 채우지 못해 정시 모집에 추가되는 인원
환산점수,성적 관련,영역별 가중치를 고려해 최종 산출되는 대학 자체의 환산 점수
표준점수,성적 관련,"원점수의 상대적 서열을 나타내는 점수. 자신의 원점수가 평균 점수로부터 얼마나 떨어져 있는지 알 수 있음."
백분위,성적 관련,영역별 응시자 수를 100명이라고 가정하고 나의 표준점수의 위치를 확인하는 방법
정량평가,성적 관련,"수치로 측정할 수 있는 객관적인 성과를 평가하는 방법 (예: 수능 점수, 내신 성적 등)"
정성평가,성적 관련,"수치화되지 않은 주관적인 평가로, 자기소개서나 면접에서 학생의 학문적 열정이나 자기주도적 학습을 평가하는 방법"
우주상향,성적 관련,자신의 성적에 비해 매우 높은 대학에 지원하는 것
수능 최저학력기준,정시/수시 관련,수능에서 특정 과목의 최소 점수를 요구하는 대학의 평가 기준
추합,대학 관련,예비합격자가 추가 합격되는 경우
교차지원,대학 관련,"이과 계열이 문과 계열의 학과에 지원하거나, 문과 계열의 학생이 이과 계열의 학과에 지원하는 경우이다."
최초합,대학 관련,"예비합격자나 추합을 거치지 않고, 최초 발표된 합격자 명단에 포함된 것"
예비번호,대학 관련,"예비합격자에게 부여되는 번호로, 추합을 기다리는 순서"
원점수,성적 관련,맞힌 문항에 해당되는 배점을 단순히 합산한 점수
킬러 문제,기타,매우 어려운 문제
준킬러,기타,중간 난이도의 고난도 문제
작수,정시/수시 관련,작년 수능
현수 ,정시/수시 관련,올해 수능
학평,정시/수시 관련,전국연합학력평가(교육청 출제)
모평,정시/수시 관련,수능 모의평가(한국교육과정평가원에서 주관하며 N수생을 포함한 수험생들이 치름)
수시납치,정시/수시 관련,수시 합격으로 인해 정시 지원이 불가능한 상황
반수,정시/수시 관련,대학에 입학한 후 다시 입시를 준비하는 것
노베,기타,기초가 전혀 없는 상태
사탐런,정시/수시 관련,과학탐구과목을 선택하던 자연계열 학생들이 사회탐구과목으로 이동
확통런,정시/수시 관련,"미적분, 기하를 선택하던 학생들이 확통으로 이동"
이수단위,성적 관련,주당 수업 시간 기준 (예: 주 3시간 수업=3단위)
교과,성적 관련,각 교과목의 성적
비교과,성적 관련,"교과 외의 활동 기록 (예: 출결, 봉사 활동, 특별 활동 등)"
지균,정시/수시 관련,"지역균형선발전형, 특정 지역에 혜택을 주기 위한 전형"
기균,정시/수시 관련,"기회균형선발전형, 사회적 취약계층의 학생을 따로 선발하는 전형"
학추,정시/수시 관련,학교장추천전형
입결,대학 관련,입시 결과
